Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
23687,1/13/10 8:29,Wednesday,Taxi,Pedestrian,,PEARL ST,Franklin St," PEARL ST & Franklin St Cambridge, MA",42.363651,-71.103735,
23701,1/18/10 2:23,Monday,Auto,Pedestrian,,Massachusetts Ave,HANCOCK ST," Massachusetts Ave & HANCOCK ST Cambridge, MA",42.36838,-71.108783,
23702,1/18/10 10:21,Monday,Auto,Pedestrian,,Massachusetts Ave,Sidney St," Massachusetts Ave & Sidney St Cambridge, MA",42.36295,-71.09958,
23729,1/26/10 18:59,Tuesday,Auto,Pedestrian,,Binney St,Broadway," Binney St & Broadway Cambridge, MA",42.364796,-71.089418,
23735,1/26/10 6:30,Tuesday,Auto,Pedestrian,,OXFORD AVE,EVERETT ST," OXFORD AVE & EVERETT ST Cambridge, MA",42.37981,-71.116492,
23756,1/26/10 11:39,Tuesday,Truck,Pedestrian,,Western Ave,Massachusetts Ave," Western Ave & Massachusetts Ave Cambridge, MA",42.365574,-71.103991,
23749,2/1/10 14:25,Monday,Auto,Pedestrian,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812,-71.089386,
23750,2/1/10 17:23,Monday,Auto,Pedestrian,,Galileo Galilei Way,Broadway," Galileo Galilei Way & Broadway Cambridge, MA",42.364802,-71.089413,
23757,2/3/10 8:00,Wednesday,Auto,Pedestrian,,Cambridge St,ELM ST," Cambridge St & ELM ST Cambridge, MA",42.373017,-71.095346,
23762,2/4/10 15:49,Thursday,Auto,Pedestrian,,Windsor St,Cambridge St," Windsor St & Cambridge St Cambridge, MA",42.37275,-71.093288,
23770,2/8/10 8:39,Monday,Auto,Pedestrian,1,Cambridge Ctr,Broadway,"1 Cambridge Ctr Cambridge, MA",42.36772,-71.074384,
23772,2/8/10 16:37,Monday,Truck,Pedestrian,78,MOUNT AUBURN ST,,"78 MOUNT AUBURN ST Cambridge, MA",42.372075,-71.119129,
